Name,Quantity,Component
"U1",1," Arduino Uno R3"
"U2",1," LCD 16 x 2 "
"R1",1," Force Sensor"
"R2, R3, R4, R5",4,"1 kΩ Resistor"
"Rpot1",1,"250 kΩ Potentiometer"
"D1",1,"Green LED"
"D2",1,"Red LED"
"S1",1," Pushbutton"
